Source,Target,Symbol,Compare Length,Score,Relationship
5217,119,AFIN,399,0.008915263212504253,2.234401807645176e-05
5217,121,AFL,2427,0.0648815891824277,2.6733246469891923e-05
5217,122,AFMD,1368,0.0694429363426935,5.0762380367466005e-05
5217,123,AFT,2260,0.022140049768181163,9.79648219831025e-06
5217,125,AG,2427,0.07987347671729836,3.291037359592021e-05
5217,128,AGCO,2427,0.1313736988618338,5.413007781698962e-05
5217,129,AGD,2427,0.06075766481421598,2.503406049205438e-05
5217,130,AGE,306,0.01561894693683074,5.1042310251080845e-05
5217,131,AGEN,2427,0.20551414360486642,8.467826271317117e-05
5217,132,AGFS,1319,0.056241440763034715,4.2639454710412975e-05
5217,133,AGI,2427,0.03013478387108438,1.2416474606956894e-05
5217,134,AGIO,1655,0.1827416021813975,0.00011041788651443959
5217,135,AGLE,974,0.051489130630031965,5.2863583809067724e-05
5217,136,AGM,2427,0.09945505423198332,4.097859671692761e-05
5217,138,AGMH,463,0.01193063962139793,2.576812013260892e-05
5217,139,AGN,2427,0.09803311289970439,4.039271236081763e-05
5217,140,AGNC,2427,0.026096243784703276,1.0752469626989401e-05
5217,142,AGNCN,631,-0.0009878496482822808,-1.5655303459307145e-06
5217,145,AGO,2427,0.09860537608640416,4.062850271380476e-05
5217,146,AGR,1049,0.011194926069549709,1.0671998159723268e-05
5217,147,AGRO,2279,0.05480913076240579,2.4049640527602366e-05
5217,148,AGRX,1445,0.08037911349419687,5.5625684079028975e-05
5217,149,AGS,519,0.025439233993429258,4.901586511258046e-05
5217,150,AGTC,1485,0.05990388526840884,4.0339316679063196e-05
5217,151,AGX,2427,0.12484170566396985,5.143869207415321e-05
5217,152,AGYS,2427,0.13370050376315848,5.5088794298788e-05
5217,153,AHC,2427,0.10797793615783793,4.4490290959142124e-05
5217,155,AHH,1708,0.024025226389235956,1.4066291796976556e-05
5217,156,AHPI,2427,-0.04027033828354052,-1.6592640413490118e-05
5217,157,AHT,2427,0.13604868637731404,5.605631906770253e-05
5217,158,AI,2427,0.10025009366285659,4.130617785861417e-05
5217,159,AIC,1237,-0.007976663372049093,-6.448393995189243e-06
5217,160,AIF,1758,0.009665778578090065,5.49816756432882e-06
5217,161,AIG,2427,0.07683600767282395,3.165884123313719e-05
5217,163,AIHS,484,-0.030392146105087774,-6.279369029976813e-05
5217,165,AIM,2427,0.03572988933787431,1.4721833266532473e-05
5217,166,AIMC,2427,0.1420998620005212,5.854959291327614e-05
5217,167,AIMT,1142,0.046648055748024476,4.084768454292861e-05
5217,168,AIN,2427,0.1535363956017499,6.326180288494022e-05
5217,169,AINC,1335,0.03301554260489741,2.4730743524267724e-05
5217,170,AINV,2427,0.09254262356924348,3.8130458825399043e-05
5217,172,AIR,2427,0.13500832188476133,5.562765631840187e-05
5217,173,AIRG,885,0.05016528274937142,5.66839353100242e-05
5217,174,AIRI,2427,0.030881306309305297,1.272406522839114e-05
5217,175,AIRT,2427,0.012504677064954214,5.152318526969186e-06
5217,177,AIT,2427,0.11193839521562052,4.612212411026803e-05
5217,178,AIV,2427,0.07022013512766638,2.8932894572586065e-05
5217,179,AIW,1710,0.006643505624793463,3.885091008651148e-06
5217,180,AIZ,2427,0.03325577604248727,1.3702421113509383e-05
5217,181,AIZP,491,0.0008718973553238945,1.7757583611484612e-06
5217,182,AJG,2427,0.04929658456591811,2.0311736533134777e-05
5217,183,AJRD,2427,0.11866243829648947,4.889264041882549e-05
5217,184,AJX,1262,0.024065955508927,1.9069695331954836e-05
5217,185,AJXA,707,0.0012163576902013214,1.7204493496482623e-06
5217,186,AKAM,2427,0.1456701032469913,6.002064410671253e-05
5217,187,AKBA,1490,0.1271912006933196,8.536322194182523e-05
5217,188,AKCA,654,0.05623505938758913,8.59863293388213e-05
5217,189,AKER,1529,0.056369406988526764,3.6866845643248374e-05
5217,190,AKG,2427,0.042141362191410146,1.7363560853485846e-05
5217,191,AKR,2423,0.07221695658552654,2.9804769535916856e-05
5217,193,AKRX,2427,0.13110670923242795,5.4020069729059726e-05
5217,194,AKTS,1186,0.032013673762350696,2.699297956353347e-05
5217,195,AKTX,1541,0.026002569316785632,1.687382823931579e-05
5217,196,AL,2223,0.11824800759692765,5.31929858735617e-05
5217,197,ALAC,311,-0.0002904203288375379,-9.338274239149128e-07
5217,199,ALACU,331,-8.2548071354524e-05,-2.493899436692568e-07
5217,200,ALB,2427,0.144358742502776,5.94803224156473e-05
5217,201,ALBO,2427,0.14788704689873355,6.093409431344605e-05
5217,203,ALCO,2427,0.08229211209260068,3.3906927108611734e-05
5217,204,ALDX,1460,0.06374854253423386,4.366338529742045e-05
5217,205,ALE,2427,0.0327751032904621,1.350436888770585e-05
5217,206,ALEC,260,0.00793523294278133,3.0520126703005115e-05
5217,207,ALEX,1932,0.07367028402898809,3.813161699222986e-05
5217,208,ALG,2427,0.12534701592865438,5.1646895726680836e-05
5217,209,ALGN,2427,0.17892316062800895,7.372194504656323e-05
5217,210,ALGR,382,-0.00046325688368284716,-1.2127143551906994e-06
5217,211,ALGRU,410,-0.00010290654384234767,-2.509915703471894e-07
5217,212,ALGT,2427,0.08971816127971635,3.696669191582874e-05
5217,213,ALIM,2427,0.08623422585053071,3.5531201421726706e-05
5217,214,ALJJ,2427,0.07099233423119274,2.9251064784175005e-05
5217,215,ALK,2427,0.11943802476745143,4.921220633187121e-05
5217,216,ALKS,2427,0.182739867742929,7.529454789572682e-05
5217,217,ALL,2427,0.052620099790033535,2.168112887928864e-05
5217,218,ALLE,1573,0.050680677031731416,3.221912080847515e-05
5217,219,ALLK,399,0.0064365651296457,1.613174217956316e-05
5217,220,ALLO,340,0.0255751438543017,7.522101133618147e-05
5217,221,ALLT,2427,0.1673674353101318,6.89606243552253e-05
5217,222,ALLY,1526,0.04329931988051296,2.837439048526406e-05
5217,223,ALNA,576,0.035098471171262455,6.093484578344176e-05
5217,224,ALNY,2427,0.23224889696119902,9.569381827820314e-05
5217,225,ALO,2427,0.036902098719139624,1.520482023862366e-05
5217,226,ALOT,2427,0.026611730860983653,1.0964866444575052e-05
5217,227,ALPN,1177,0.03586351219587816,3.0470273743311945e-05
5217,228,ALRM,1170,0.07875184189344746,6.730926657559611e-05
5217,229,ALRN,664,0.01545781889459886,2.3279847732829608e-05
5217,230,ALRS,2427,-0.010059829320358656,-4.144964697304761e-06
5217,231,ALSK,2427,0.0809189463232492,3.3341139811804364e-05
5217,232,ALSN,1995,0.07083757766597648,3.550755772730651e-05
5217,233,ALT,2427,0.053310051729283284,2.1965410683676672e-05
5217,235,ALTM,318,0.015901291028181497,5.000405983704873e-05
5217,236,ALTR,577,0.035626089465174225,6.174365591884614e-05
5217,238,ALV,2427,0.1204355609669001,4.962322248327157e-05
5217,239,ALX,2427,0.066190458727573,2.7272541708929954e-05
5217,240,ALXN,2427,0.15718465844683088,6.476500142020226e-05
5217,241,ALYA,2427,0.03699558027354804,1.5243337566356835e-05
5217,242,AM,1330,0.053881794116461636,4.0512627155234315e-05
5217,243,AMAG,2427,0.14758798039537618,6.081086954898071e-05
5217,244,AMAL,384,0.0075537986509112125,1.9671350653414615e-05
5217,245,AMAT,754,0.0617546770818075,8.190275475040782e-05
5217,246,AMBA,1850,0.17525732666738145,9.473369009047645e-05
5217,247,AMBC,1713,0.06933481935558933,4.047566804179179e-05
5217,248,AMBO,432,0.03747093383772689,8.673827277251595e-05
5217,249,AMC,1552,0.07686314812810126,4.952522430934359e-05
5217,250,AMCI,272,-0.00015350867202291405,-5.643701177313016e-07
5217,251,AMCIU,314,-1.9075397938579552e-05,-6.074967496362914e-08
5217,252,AMCR,1953,0.005666291502661061,2.9013269342862575e-06
5217,253,AMCX,2183,0.0902010044067878,4.131974549097013e-05
5217,254,AMD,2427,0.2498405484354442,0.00010294212955724936
5217,255,AME,2427,0.11197623224912094,4.613771415291345e-05
5217,256,AMED,2427,0.16558846227582283,6.822763175765259e-05
5217,257,AMEH,2427,0.05300494457727796,2.1839696982809214e-05
5217,258,AMG,2427,0.14556703366616236,5.997817621185099e-05
5217,259,AMGN,2427,0.0782367510291336,3.223599135934636e-05
5217,260,AMH,1649,0.01926764276961295,1.168444073354333e-05
5217,264,AMKR,2427,0.1943740264397642,8.008818559528809e-05
5217,265,AMN,2427,0.17897280966911655,7.374240200622849e-05
5217,266,AMNB,2427,0.09121055482719816,3.7581604790769736e-05
5217,267,AMOT,2427,0.13731082052231589,5.657635785839138e-05
5217,268,AMOV,2427,0.07326252116867824,3.018645289191522e-05
5217,269,AMP,2427,0.11462930596599942,4.723086360362564e-05
5217,270,AMPE,2427,0.1979363353567217,8.155596842056931e-05
5217,271,AMPH,1423,0.057201970195826346,4.01981519296039e-05
5217,272,AMPY,1014,0.03815783523361419,3.7631001216582044e-05
5217,273,AMRB,2427,-0.011523098554589193,-4.747877443176429e-06
5217,274,AMRC,2411,0.1598463792364084,6.629878856756881e-05
5217,275,AMRH,1208,-0.0011144909217288472,-9.225918226232179e-07
5217,276,AMRK,1493,-0.022615573611934784,-1.5147738521054779e-05
5217,277,AMRN,2427,0.2083024188303893,8.582711941919626e-05
5217,278,AMRS,2364,0.16839302301297812,7.123224323730039e-05
5217,279,AMRX,450,0.029788255507422284,6.61961233498273e-05
5217,280,AMS,2427,0.013655267529740023,5.626397828487855e-06
5217,281,AMSC,2427,0.2153961312748505,8.87499510815206e-05
5217,282,AMSF,2427,0.05487311002211254,2.2609439646523502e-05
5217,283,AMSWA,2427,0.11900282015010273,4.9032888401360826e-05
5217,284,AMT,2427,0.0510132734978982,2.1019066130159952e-05
5217,285,AMTB,335,-0.009136778234376695,-2.7273964878736403e-05
5217,286,AMTBB,335,-0.009958013357075895,-2.97254130061967e-05
5217,287,AMTD,2427,0.11598664331026737,4.7790129093641276e-05
5217,288,AMTX,1451,0.04830902191509014,3.3293605730592795e-05
5217,289,AMWD,2427,0.16824805088076614,6.932346554625716e-05
5217,290,AMX,2427,0.07694969945129249,3.170568580605377e-05
5217,291,AMZN,2427,0.17732962312042946,7.306535769280159e-05
5217,292,AN,2427,0.1031448248425224,4.249889775134833e-05
5217,293,ANAB,771,0.061228325816810675,7.941417096862604e-05
5217,294,ANAT,2427,0.05804722472321488,2.391727429881124e-05
5217,295,ANCN,257,0.015789640148790376,6.143828851669407e-05
5217,297,ANDAU,267,-0.0023195241675184877,-8.687356432653512e-06
5217,298,ANDE,2427,0.09929810985880874,4.0913930720563966e-05
5217,299,ANET,1436,0.1277125182341494,8.893629403492297e-05
5217,300,ANF,2427,0.16869096285328317,6.950595914844794e-05
5217,301,ANGI,2075,0.14116016958722544,6.802899739143395e-05
5217,302,ANGO,2427,0.09054410855355731,3.730700805667792e-05
5217,303,ANH,2427,0.03553188248482943,1.4640248242616163e-05
5217,304,ANIK,2427,0.13333156813078081,5.4936781265257854e-05
5217,305,ANIP,2427,0.18355527180618383,7.563051990366041e-05
5217,306,ANIX,2427,0.10220021302544884,4.2109688102780734e-05
5217,308,ANSS,2427,0.10675893642525998,4.398802489709929e-05
5217,309,ANTE,2427,0.08739309695228417,3.600869260497906e-05
5217,310,ANTM,2427,0.07050475485122691,2.9050166811383152e-05
5217,312,ANY,1642,0.04715444726134547,2.871769017134316e-05
5217,313,AOBC,2427,0.10165031388788684,4.1883112438354693e-05
5217,314,AOD,2427,0.05269915680727088,2.17137028460119e-05
5217,315,AON,2427,0.056695879910059546,2.3360477919266397e-05
5217,316,AOS,1837,0.07008963163004019,3.8154399363113876e-05
5217,317,AOSL,2427,0.13350582505631126,5.500858057532396e-05
5217,318,AP,2427,0.10285022930061789,4.237751516300696e-05
5217,319,APA,2427,0.13857866313013223,5.7098748714516785e-05
5217,320,APAM,1751,0.08888450082199759,5.076213639177475e-05
5217,321,APD,2427,0.07321356577861075,3.0166281738199735e-05
5217,322,APDN,2427,0.002303111508785973,9.489540621285427e-07
5217,323,APEI,2427,0.11774427335554902,4.851432771139226e-05
5217,324,APEN,2427,0.09438409797119257,3.888920394363105e-05
5217,325,APEX,2427,0.08824105309050051,3.6358077087144834e-05
5217,326,APH,2427,0.10205455473264365,4.2049672324945876e-05
5217,327,APHA,1240,0.04896490217710683,3.948782433637647e-05
5217,328,APLE,1198,0.018489600063592234,1.543372292453442e-05
5217,329,APLS,571,0.06761383944293894,0.00011841302879674071
5217,331,APM,294,0.00430822659302578,1.4653831949067278e-05
5217,332,APO,2237,0.10640860842364568,4.756754958589436e-05
5217,333,APOG,2427,0.12499835390965512,5.150323605671822e-05
5217,334,APOP,894,0.016013558504282602,1.7912257834768012e-05
5217,335,APPF,1170,0.05190524010580312,4.436345308188301e-05
5217,336,APPN,688,0.05012373696610242,7.28542688460791e-05
5217,337,APPS,2427,0.13594420411197958,5.601326910258738e-05
5217,339,APRN,664,0.007451108021602471,1.1221548225304927e-05
5217,340,APT,2427,0.030762802245184056,1.2675237843091906e-05
5217,341,APTO,2427,0.06567172131594988,2.7058805651400855e-05
5217,342,APTS,2235,0.057466641197769036,2.571214371264834e-05
5217,343,APTV,2075,0.11154885077195031,5.375848229973509e-05
5217,344,APTX,418,-0.0018366099496062676,-4.393803707192028e-06
5217,345,APVO,902,0.0392813464390267,4.3549164566548444e-05
5217,346,APWC,2427,0.04197964080369001,1.7296926577540177e-05
5217,349,APY,456,0.032736401621370766,7.179035443283062e-05
5217,350,APYX,285,0.0073270480959189005,2.570894068743474e-05
5217,351,AQB,783,0.00044269623280529573,5.653847162264313e-07
5217,352,AQMS,1146,0.03453259509157069,3.0133154530166394e-05
5217,353,AQN,2427,0.018042012246950973,7.433874020169334e-06
5217,354,AQNA,332,0.002065677575587524,6.2219204083961565e-06
5217,356,AQST,395,0.03807130960738817,9.638306229718525e-05
5217,357,AQUA,576,0.031136299383108863,5.405607531789733e-05
5217,358,AR,1600,0.09565964923767294,5.978728077354558e-05
5217,359,ARA,2427,0.03715058292184256,1.5307203511265993e-05
5217,360,ARAV,1493,0.09144919474690318,6.125197236899075e-05
5217,361,ARAY,2427,0.13139471234549996,5.413873603028428e-05
5217,362,ARC,2427,0.14784228466347898,6.091565087081952e-05
5217,363,ARCB,2427,0.19510202005350818,8.038814176081919e-05
5217,364,ARCC,2427,0.06253695066455461,2.5767181979626954e-05
5217,365,ARCE,351,0.012144941468254351,3.460097284402949e-05
5217,366,ARCH,956,0.01928824571360051,2.01759892401679e-05
5217,367,ARCO,2226,0.09870649669250102,4.434254119159974e-05
5217,368,ARCT,1698,0.11790786665550093,6.943926187014189e-05
5217,369,ARD,740,0.01771683678897359,2.39416713364508e-05
5217,370,ARDC,1818,0.007397673980186461,4.06912760186274e-06
5217,371,ARDS,381,-0.016038154442341964,-4.209489354945397e-05
5217,372,ARDX,1427,0.08563686879070183,6.001182115676372e-05
5217,373,ARE,2427,0.0581560202836431,2.3962101476573176e-05
5217,374,AREC,663,-0.002172263374764086,-3.2764153465521656e-06
5217,375,ARES,1460,0.028264888995642966,1.935951301071436e-05
5217,376,ARGD,1861,0.008513711300487548,4.574804567698844e-06
5217,377,ARGO,2427,0.04735933315480223,1.9513528287928402e-05
5217,378,ARGX,693,0.021581716028233888,3.114244737118887e-05
5217,379,ARI,2427,0.042716571448681434,1.7600565079802816e-05
5217,380,ARKR,2427,0.02135824456286839,8.800265580085862e-06
5217,381,ARL,2427,0.029295484848801772,1.2070657127648031e-05
5217,382,ARLO,388,0.04380298428197379,0.00011289428938653038
5217,383,ARLP,2427,0.08293069844339822,3.41700446820759e-05
5217,384,ARMK,1556,0.049767441888278155,3.1984217151849715e-05
5217,385,ARMP,2427,0.04585311248163508,1.8892918204217173e-05
5217,386,ARNA,2427,0.1901374326508079,7.834257628793074e-05
5217,387,ARNC,2427,0.13783987683871904,5.6794345627819956e-05
5217,388,AROC,2427,0.18994773674138046,7.826441563303687e-05
5217,389,AROW,2427,0.065868235325827,2.713977557718459e-05
5217,390,ARPO,637,0.004566968344872891,7.169495046896218e-06
5217,392,ARR,2427,0.04043454176773087,1.6660297390906825e-05
5217,393,ARTL,568,-0.014403004608666871,-2.5357402480047308e-05
5217,394,ARTNA,2427,0.05254616203275422,2.1650664207974545e-05
5217,395,ARTW,2427,0.029652740472072583,1.2217857631673912e-05
5217,396,ARVN,350,0.022583653267007658,6.452472362002188e-05
5217,397,ARW,2427,0.14590120707016238,6.011586611873193e-05
5217,398,ARWR,2427,0.18013006824797098,7.42192287795513e-05
5217,399,ARYA,298,-3.492910872675642e-05,-1.1721177425086049e-07
5217,400,ARYAU,344,-0.0003042975304166822,-8.845858442345412e-07
